,index,Region,Association,Country,Player,Clubs,Periods,Number of Clubs,First Year,Final Year,Total Years,Active
177,489,Asia,AFC,Korea Republic,Park Chu-young,Arsenal F.C.,,,,,,
178,512,Europe,UEFA,Austria,Alex Manninger,Arsenal F.C.,,,,,,
179,522,Europe,UEFA,Belarus,Alexander Hleb,Arsenal F.C.,,,,,,
180,581,Europe,UEFA,Belgium,Albert Sambi Lokonga,Arsenal F.C.,,,,,,
181,591,Europe,UEFA,Belgium,Thomas Vermaelen,Arsenal F.C.,,,,,,
182,597,Europe,UEFA,Bosnia and Herzegovina,Sead Kolašinac,Arsenal F.C.,,,,,,
183,616,Europe,UEFA,Croatia,Eduardo da Silva,Arsenal F.C.,,,,,,
184,636,Europe,UEFA,Croatia,Davor Šuker,Arsenal F.C.,,,,,,
185,663,Europe,UEFA,Czech Republic,Tomáš Rosický,Arsenal F.C.,,,,,,
186,677,Europe,UEFA,Denmark,Nicklas Bendtner,Arsenal F.C.,,,,,,
187,707,Europe,UEFA,Denmark,John Jensen,Arsenal F.C.,,,,,,
188,777,Europe,UEFA,France,Jérémie Aliadière,Arsenal F.C.,,,,,,
189,780,Europe,UEFA,France,Nicolas Anelka,Arsenal F.C.,,,,,,
190,818,Europe,UEFA,France,Gaël Clichy,Arsenal F.C.,,,,,,
191,820,Europe,UEFA,France,Francis Coquelin,Arsenal F.C.,,,,,,
192,822,Europe,UEFA,France,Pascal Cygan,Arsenal F.C.,,,,,,
193,833,Europe,UEFA,France,Abou Diaby,Arsenal F.C.,,,,,,
194,860,Europe,UEFA,France,Mathieu Flamini,Arsenal F.C.,,,,,,
195,865,Europe,UEFA,France,Rémi Garde,Arsenal F.C.,,,,,,
196,867,Europe,UEFA,France,Olivier Giroud,Arsenal F.C.,,,,,,
197,877,Europe,UEFA,France,Gilles Grimandi,Arsenal F.C.,,,,,,
198,878,Europe,UEFA,France,David Grondin,Arsenal F.C.,,,,,,
199,879,Europe,UEFA,France,Matteo Guendouzi,Arsenal F.C.,,,,,,
200,883,Europe,UEFA,France,Thierry Henry,Arsenal F.C.,,,,,,
201,895,Europe,UEFA,France,Laurent Koscielny,Arsenal F.C.,,,,,,
202,897,Europe,UEFA,France,Alexandre Lacazette,Arsenal F.C.,,,,,,
203,939,Europe,UEFA,France,Samir Nasri,Arsenal F.C.,,,,,,
204,957,Europe,UEFA,France,Emmanuel Petit,Arsenal F.C.,,,,,,
205,960,Europe,UEFA,France,Robert Pires,Arsenal F.C.,,,,,,
206,974,Europe,UEFA,France,Bacary Sagna,Arsenal F.C.,,,,,,
207,975,Europe,UEFA,France,Yaya Sanogo,Arsenal F.C.,,,,,,
208,979,Europe,UEFA,France,William Saliba,Arsenal F.C.,,,,,,
209,991,Europe,UEFA,France,Sébastien Squillaci,Arsenal F.C.,,,,,,
210,1002,Europe,UEFA,France,Patrick Vieira,Arsenal F.C.,,,,,,
211,1005,Europe,UEFA,France,Sylvain Wiltord,Arsenal F.C.,,,,,,
212,1030,Europe,UEFA,Germany,Serge Gnabry,Arsenal F.C.,,,,,,
213,1051,Europe,UEFA,Germany,Jens Lehmann,Arsenal F.C.,,,,,,
214,1053,Europe,UEFA,Germany,Bernd Leno,Arsenal F.C.,,,,,,
215,1055,Europe,UEFA,Germany,Stefan Malz,Arsenal F.C.,,,,,,
216,1057,Europe,UEFA,Germany,Alberto Méndez,Arsenal F.C.,,,,,,
217,1058,Europe,UEFA,Germany,Per Mertesacker,Arsenal F.C.,,,,,,
218,1060,Europe,UEFA,Germany,Shkodran Mustafi,Arsenal F.C.,,,,,,
219,1064,Europe,UEFA,Germany,Mesut Özil,Arsenal F.C.,,,,,,
220,1066,Europe,UEFA,Germany,Lukas Podolski,Arsenal F.C.,,,,,,
221,1112,Europe,UEFA,Greece,Konstantinos Mavropanos,Arsenal F.C.,,,,,,
222,1115,Europe,UEFA,Greece,Sokratis Papastathopoulos,Arsenal F.C.,,,,,,
223,1119,Europe,UEFA,Greece,Stathis Tavlaridis,Arsenal F.C.,,,,,,
224,1151,Europe,UEFA,Iceland,Rúnar Alex Rúnarsson,Arsenal F.C.,,,,,,
225,1214,Europe,UEFA,Italy,Arturo Lupoli,Arsenal F.C.,,,,,,
226,1218,Europe,UEFA,Italy,Vito Mannone,Arsenal F.C.,,,,,,
227,1262,Europe,UEFA,Latvia,Igors Stepanovs,Arsenal F.C.,,,,,,
228,1265,Europe,UEFA,Lithuania,Tomas Danilevičius,Arsenal F.C.,,,,,,
229,1278,Europe,UEFA,Netherlands,Dennis Bergkamp,Arsenal F.C.,,,,,,
230,1290,Europe,UEFA,Netherlands,Giovanni van Bronckhorst,Arsenal F.C.,,,,,,
231,1324,Europe,UEFA,Netherlands,Glenn Helder,Arsenal F.C.,,,,,,
232,1367,Europe,UEFA,Netherlands,Marc Overmars,Arsenal F.C.,,,,,,
233,1368,Europe,UEFA,Netherlands,Robin van Persie,Arsenal F.C.,,,,,,
234,1393,Europe,UEFA,Netherlands,Jurriën Timber,Arsenal F.C.,,,,,,
235,1473,Europe,UEFA,Norway,Pål Lydersen,Arsenal F.C.,,,,,,
236,1481,Europe,UEFA,Norway,Martin Ødegaard,Arsenal F.C.,,,,,,
237,1504,Europe,UEFA,Poland,Łukasz Fabiański,Arsenal F.C.,,,,,,
238,1507,Europe,UEFA,Poland,Jakub Kiwior,Arsenal F.C.,,,,,,
239,1519,Europe,UEFA,Poland,Wojciech Szczęsny,Arsenal F.C.,,,,,,
240,1526,Europe,UEFA,Portugal,Amaury Bischoff,Arsenal F.C.,,,,,,
241,1527,Europe,UEFA,Portugal,Luís Boa Morte,Arsenal F.C.,,,,,,
242,1599,Europe,UEFA,Portugal,Nuno Tavares,Arsenal F.C.,,,,,,
243,1610,Europe,UEFA,Portugal,Fábio Vieira,Arsenal F.C.,,,,,,
244,1618,Europe,UEFA,Republic of Ireland,Graham Barrett,Arsenal F.C.,,,,,,
245,1738,Europe,UEFA,Republic of Ireland,Brian McGovern,Arsenal F.C.,,,,,,
246,1766,Europe,UEFA,Republic of Ireland,David O'Leary,Arsenal F.C.,,,,,,
247,1833,Europe,UEFA,Russia,Andrey Arshavin,Arsenal F.C.,,,,,,
248,1900,Europe,UEFA,Spain,Manuel Almunia,Arsenal F.C.,,,,,,
249,1912,Europe,UEFA,Spain,Héctor Bellerín,Arsenal F.C.,,,,,,
250,1926,Europe,UEFA,Spain,Santi Cazorla,Arsenal F.C.,,,,,,
251,1927,Europe,UEFA,Spain,Dani Ceballos,Arsenal F.C.,,,,,,
252,1943,Europe,UEFA,Spain,Cesc Fàbregas,Arsenal F.C.,,,,,,
253,1987,Europe,UEFA,Spain,Lucas Pérez,Arsenal F.C.,,,,,,
254,1993,Europe,UEFA,Spain,Pablo Marí,Arsenal F.C.,,,,,,
255,1996,Europe,UEFA,Spain,Fran Mérida,Arsenal F.C.,,,,,,
256,2001,Europe,UEFA,Spain,Ignasi Miquel,Arsenal F.C.,,,,,,
257,2002,Europe,UEFA,Spain,Nacho Monreal,Arsenal F.C.,,,,,,
258,2031,Europe,UEFA,Spain,José Antonio Reyes,Arsenal F.C.,,,,,,
259,2050,Europe,UEFA,Spain,Denis Suárez,Arsenal F.C.,,,,,,
260,2097,Europe,UEFA,Sweden,Kim Källström,Arsenal F.C.,,,,,,
261,2102,Europe,UEFA,Sweden,Sebastian Larsson,Arsenal F.C.,,,,,,
262,2103,Europe,UEFA,Sweden,Anders Limpar,Arsenal F.C.,,,,,,
263,2106,Europe,UEFA,Sweden,Freddie Ljungberg,Arsenal F.C.,,,,,,
264,2124,Europe,UEFA,Sweden,Stefan Schwarz,Arsenal F.C.,,,,,,
265,2126,Europe,UEFA,Sweden,Rami Shaaban,Arsenal F.C.,,,,,,
266,2144,Europe,UEFA,Switzerland,Johan Djourou,Arsenal F.C.,,,,,,
267,2159,Europe,UEFA,Switzerland,Stephan Lichtsteiner,Arsenal F.C.,,,,,,
268,2163,Europe,UEFA,Switzerland,Philippe Senderos,Arsenal F.C.,,,,,,
269,2167,Europe,UEFA,Switzerland,Granit Xhaka,Arsenal F.C.,,,,,,
270,2194,Europe,UEFA,Ukraine,Oleh Luzhnyi,Arsenal F.C.,,,,,,
271,2227,"North, Central America and Caribbean",CONCACAF,Costa Rica,Joel Campbell,Arsenal F.C.,,,,,,
